payment_id,invoice_id,customer_id,payment_date,amount_paid,payment_method,payment_status
PAY00001,INV00001,CUST0001,2024-10-09,19.99,bank_transfer,paid
PAY00002,INV00002,CUST0001,2024-11-10,19.99,card,paid
PAY00003,INV00003,CUST0001,2024-12-10,19.99,bank_transfer,paid
PAY00004,INV00004,CUST0001,2025-01-10,19.99,paypal,paid
PAY00005,INV00005,CUST0001,2025-02-09,19.99,card,paid
PAY00006,INV00006,CUST0001,2025-03-10,19.99,card,paid
PAY00007,INV00007,CUST0001,2025-04-09,19.99,paypal,paid
PAY00008,INV00008,CUST0001,2025-05-13,19.99,paypal,paid
PAY00009,INV00009,CUST0001,2025-06-13,19.99,card,paid
PAY00010,INV00010,CUST0001,2025-07-13,19.99,paypal,paid
PAY00011,INV00011,CUST0001,2025-08-11,19.99,bank_transfer,paid
PAY00012,INV00012,CUST0001,2025-09-14,19.99,card,paid
PAY00013,INV00013,CUST0001,2025-10-16,0.0,card,failed
PAY00014,INV00014,CUST0001,2025-11-12,19.99,paypal,paid
PAY00015,INV00015,CUST0001,2025-12-10,19.99,paypal,paid
PAY00016,INV00016,CUST0002,2024-03-22,49.99,bank_transfer,paid
PAY00017,INV00017,CUST0002,2024-04-17,49.99,card,paid
PAY00018,INV00018,CUST0002,2024-05-20,49.99,paypal,paid
PAY00019,INV00019,CUST0002,2024-06-21,49.99,bank_transfer,paid
PAY00020,INV00020,CUST0002,2024-07-20,49.99,bank_transfer,paid
PAY00021,INV00021,CUST0002,2024-08-18,49.99,bank_transfer,paid
PAY00022,INV00022,CUST0002,2024-09-21,49.99,paypal,paid
PAY00023,INV00023,CUST0002,2024-10-18,49.99,card,paid
PAY00024,INV00024,CUST0002,2024-11-17,49.99,card,paid
PAY00025,INV00025,CUST0003,2025-03-21,19.99,card,paid
PAY00026,INV00026,CUST0003,2025-04-21,19.99,paypal,paid
PAY00027,INV00027,CUST0003,2025-05-19,19.99,paypal,paid
PAY00028,INV00028,CUST0003,2025-06-22,19.99,bank_transfer,paid
PAY00029,INV00029,CUST0003,2025-07-18,19.99,bank_transfer,paid
PAY00030,INV00030,CUST0003,2025-08-19,19.99,bank_transfer,paid
PAY00031,INV00031,CUST0003,2025-09-19,19.99,card,paid
PAY00032,INV00032,CUST0003,2025-10-21,19.99,card,paid
PAY00033,INV00033,CUST0003,2025-11-17,19.99,paypal,paid
PAY00034,INV00034,CUST0003,2025-12-19,19.99,card,paid
PAY00035,INV00035,CUST0004,2025-07-10,49.99,card,paid
PAY00036,INV00036,CUST0004,2025-08-12,49.99,card,paid
PAY00037,INV00037,CUST0004,2025-09-12,49.99,bank_transfer,paid
PAY00038,INV00038,CUST0004,2025-10-10,49.99,card,paid
PAY00039,INV00039,CUST0004,2025-11-07,49.99,bank_transfer,paid
PAY00040,INV00040,CUST0004,2025-12-07,49.99,card,paid
PAY00041,INV00041,CUST0005,2024-03-14,19.99,bank_transfer,paid
PAY00042,INV00042,CUST0005,2024-04-16,19.99,card,paid
PAY00043,INV00043,CUST0005,2024-05-14,19.99,card,paid
PAY00044,INV00044,CUST0005,2024-06-16,19.99,paypal,paid
PAY00045,INV00045,CUST0005,2024-07-18,19.99,bank_transfer,paid
PAY00046,INV00046,CUST0005,2024-08-16,19.99,bank_transfer,paid
PAY00047,INV00047,CUST0005,2024-09-14,19.99,card,paid
PAY00048,INV00048,CUST0005,2024-10-16,19.99,card,paid
PAY00049,INV00049,CUST0005,2024-11-13,19.99,paypal,paid
PAY00050,INV00050,CUST0005,2024-12-13,19.99,card,paid
PAY00051,INV00051,CUST0006,2024-04-13,19.99,paypal,paid
