refund_id,payment_id,customer_id,refund_date,refund_amount,refund_reason
REF00001,PAY00034,CUST0003,2025-12-24,19.99,billing error
REF00002,PAY00051,CUST0006,2024-04-24,9.99,customer request
REF00003,PAY00055,CUST0006,2024-09-02,9.99,service issue
REF00004,PAY00070,CUST0008,2024-07-26,12.5,service issue
REF00005,PAY00120,CUST0011,2025-08-19,44.99,customer request
REF00006,PAY00125,CUST0012,2025-07-26,25.0,service issue
REF00007,PAY00162,CUST0014,2025-09-08,12.5,duplicate payment
REF00008,PAY00221,CUST0017,2025-03-25,12.5,duplicate payment
REF00009,PAY00267,CUST0020,2025-03-24,12.5,duplicate payment
REF00010,PAY00273,CUST0020,2025-10-06,49.99,duplicate payment
REF00011,PAY00294,CUST0021,2025-11-26,19.99,billing error
REF00012,PAY00323,CUST0025,2025-05-19,25.0,billing error
REF00013,PAY00331,CUST0026,2025-07-11,19.99,billing error
REF00014,PAY00348,CUST0028,2025-01-22,9.99,billing error
REF00015,PAY00364,CUST0030,2025-04-22,9.99,customer request
REF00016,PAY00418,CUST0036,2025-01-13,9.99,service issue
REF00017,PAY00422,CUST0036,2025-05-18,9.99,customer request
REF00018,PAY00432,CUST0037,2024-05-27,49.99,customer request
REF00019,PAY00461,CUST0039,2024-10-12,89.99,customer request
REF00020,PAY00466,CUST0040,2024-03-18,89.99,duplicate payment
REF00021,PAY00477,CUST0040,2025-03-01,89.99,service issue
REF00022,PAY00492,CUST0041,2025-04-13,9.99,billing error
REF00023,PAY00504,CUST0042,2025-06-17,49.99,service issue
REF00024,PAY00535,CUST0045,2025-04-21,5.0,service issue
REF00025,PAY00553,CUST0046,2025-10-10,9.99,service issue
REF00026,PAY00565,CUST0047,2025-09-23,25.0,duplicate payment
REF00027,PAY00593,CUST0049,2025-06-23,44.99,service issue
REF00028,PAY00620,CUST0052,2025-06-09,5.0,duplicate payment
REF00029,PAY00647,CUST0053,2025-12-31,12.5,customer request
REF00030,PAY00727,CUST0060,2025-02-11,44.99,service issue
REF00031,PAY00749,CUST0061,2025-11-10,5.0,service issue
REF00032,PAY00766,CUST0062,2025-04-06,12.5,billing error
REF00033,PAY00767,CUST0062,2025-05-12,25.0,customer request
REF00034,PAY00778,CUST0063,2024-04-28,49.99,customer request
REF00035,PAY00834,CUST0068,2025-05-06,9.99,duplicate payment
REF00036,PAY00865,CUST0070,2025-06-22,5.0,billing error
REF00037,PAY00868,CUST0070,2025-09-23,9.99,duplicate payment
REF00038,PAY00887,CUST0073,2024-09-09,9.99,billing error
REF00039,PAY00893,CUST0073,2025-03-08,19.99,customer request
REF00040,PAY00895,CUST0073,2025-05-16,5.0,customer request
REF00041,PAY00899,CUST0073,2025-08-30,19.99,billing error
REF00042,PAY00941,CUST0077,2024-11-17,19.99,customer request
REF00043,PAY00998,CUST0081,2025-05-03,25.0,billing error
REF00044,PAY01014,CUST0082,2025-07-31,44.99,customer request
REF00045,PAY01015,CUST0082,2025-09-04,89.99,billing error
REF00046,PAY01050,CUST0084,2025-12-07,5.0,service issue
REF00047,PAY01074,CUST0086,2025-09-09,9.99,billing error
REF00048,PAY01088,CUST0087,2025-07-17,5.0,billing error
REF00049,PAY01195,CUST0095,2025-11-04,89.99,duplicate payment
REF00050,PAY01196,CUST0095,2025-12-12,89.99,customer request
REF00051,PAY01205,CUST0096,2025-09-26,9.99,duplicate payment
REF00052,PAY01221,CUST0097,2025-06-18,19.99,duplicate payment
REF00053,PAY01222,CUST0097,2025-07-20,19.99,duplicate payment
REF00054,PAY01235,CUST0098,2025-04-12,25.0,customer request
REF00055,PAY01243,CUST0098,2025-12-08,12.5,customer request
REF00056,PAY01263,CUST0101,2024-07-13,9.99,customer request
REF00057,PAY01269,CUST0101,2025-01-14,9.99,service issue
REF00058,PAY01317,CUST0105,2025-02-01,19.99,billing error
REF00059,PAY01342,CUST0108,2025-05-18,19.99,service issue
REF00060,PAY01355,CUST0109,2024-11-20,9.99,duplicate payment
REF00061,PAY01369,CUST0110,2024-03-13,9.99,service issue
REF00062,PAY01378,CUST0110,2024-12-14,9.99,billing error
REF00063,PAY01422,CUST0112,2024-11-23,22.5,billing error
REF00064,PAY01426,CUST0113,2024-04-21,9.99,customer request
REF00065,PAY01437,CUST0113,2025-03-22,5.0,duplicate payment
REF00066,PAY01448,CUST0114,2024-07-19,19.99,service issue
REF00067,PAY01458,CUST0114,2025-05-17,19.99,duplicate payment
REF00068,PAY01485,CUST0116,2024-11-29,25.0,customer request
REF00069,PAY01493,CUST0116,2025-08-05,25.0,service issue
REF00070,PAY01495,CUST0116,2025-10-02,12.5,duplicate payment
REF00071,PAY01517,CUST0117,2026-01-16,19.99,billing error
REF00072,PAY01531,CUST0118,2025-09-05,12.5,duplicate payment
REF00073,PAY01534,CUST0118,2025-12-19,25.0,billing error
REF00074,PAY01551,CUST0120,2025-09-23,12.5,service issue
