subscription_id,customer_id,plan_name,start_date,end_date,monthly_price,billing_cycle,subscription_status,cancel_date
SUB0001,CUST0001,Basic,2024-10-09,,19.99,monthly,active,
SUB0002,CUST0002,Pro,2024-03-17,2024-11-17,49.99,monthly,cancelled,2024-11-17
SUB0003,CUST0003,Basic,2025-03-17,,19.99,monthly,active,
SUB0004,CUST0004,Pro,2025-07-07,,49.99,monthly,active,
SUB0005,CUST0005,Basic,2024-03-13,2024-12-13,19.99,monthly,cancelled,2024-12-13
SUB0006,CUST0006,Basic,2024-04-12,2024-12-12,19.99,monthly,cancelled,2024-12-12
SUB0007,CUST0007,Pro,2024-11-24,2025-07-24,49.99,monthly,cancelled,2025-07-24
SUB0008,CUST0008,Pro,2024-06-13,2024-12-13,49.99,monthly,cancelled,2024-12-13
SUB0009,CUST0009,Pro,2024-09-18,,49.99,monthly,active,
SUB0010,CUST0010,Pro,2025-03-27,,49.99,monthly,active,
SUB0011,CUST0011,Premium,2024-02-04,,89.99,monthly,active,
SUB0012,CUST0012,Pro,2025-07-10,,49.99,monthly,active,
SUB0013,CUST0013,Basic,2024-01-28,,19.99,monthly,active,
SUB0014,CUST0014,Pro,2025-01-18,,49.99,monthly,active,
SUB0015,CUST0015,Basic,2024-03-25,,19.99,monthly,active,
SUB0016,CUST0016,Pro,2024-07-11,,49.99,monthly,active,
SUB0017,CUST0017,Pro,2024-01-12,,49.99,monthly,active,
SUB0018,CUST0018,Premium,2024-06-19,,89.99,monthly,active,
SUB0019,CUST0019,Basic,2025-01-17,2025-08-17,19.99,monthly,cancelled,2025-08-17
SUB0020,CUST0020,Pro,2024-06-16,,49.99,monthly,active,
SUB0021,CUST0021,Basic,2024-06-10,,19.99,monthly,active,
SUB0022,CUST0022,Pro,2024-07-05,2024-09-05,49.99,monthly,cancelled,2024-09-05
SUB0023,CUST0023,Pro,2024-06-14,,49.99,monthly,active,
SUB0024,CUST0024,Basic,2024-06-03,2024-10-03,19.99,monthly,cancelled,2024-10-03
SUB0025,CUST0025,Pro,2025-05-04,,49.99,monthly,active,
SUB0026,CUST0026,Basic,2025-06-23,,19.99,monthly,active,
SUB0027,CUST0027,Basic,2025-03-13,2025-08-13,19.99,monthly,cancelled,2025-08-13
SUB0028,CUST0028,Basic,2024-09-07,2025-02-07,19.99,monthly,cancelled,2025-02-07
SUB0029,CUST0029,Pro,2025-04-06,,49.99,monthly,active,
SUB0030,CUST0030,Basic,2024-11-14,,19.99,monthly,active,
SUB0031,CUST0031,Basic,2025-02-21,2025-09-21,19.99,monthly,cancelled,2025-09-21
SUB0032,CUST0032,Pro,2025-04-08,2025-06-08,49.99,monthly,cancelled,2025-06-08
SUB0033,CUST0033,Basic,2024-03-18,2024-07-18,19.99,monthly,cancelled,2024-07-18
SUB0034,CUST0034,Basic,2024-10-20,,19.99,monthly,active,
SUB0035,CUST0035,Premium,2024-12-04,,89.99,monthly,active,
SUB0036,CUST0036,Basic,2024-11-27,,19.99,monthly,active,
SUB0037,CUST0037,Pro,2024-04-14,,49.99,monthly,active,
SUB0038,CUST0038,Basic,2025-05-14,2025-11-14,19.99,monthly,cancelled,2025-11-14
SUB0039,CUST0039,Premium,2024-07-29,2024-12-29,89.99,monthly,cancelled,2024-12-29
SUB0040,CUST0040,Premium,2024-02-10,,89.99,monthly,active,
SUB0041,CUST0041,Basic,2024-12-04,,19.99,monthly,active,
SUB0042,CUST0042,Pro,2025-03-13,,49.99,monthly,active,
SUB0043,CUST0043,Basic,2025-03-18,,19.99,monthly,active,
SUB0044,CUST0044,Premium,2024-08-01,2025-01-01,89.99,monthly,cancelled,2025-01-01
SUB0045,CUST0045,Basic,2024-08-05,,19.99,monthly,active,
SUB0046,CUST0046,Basic,2025-01-03,,19.99,monthly,active,
SUB0047,CUST0047,Pro,2024-12-06,,49.99,monthly,active,
SUB0048,CUST0048,Basic,2024-12-04,,19.99,monthly,active,
SUB0049,CUST0049,Premium,2024-07-10,,89.99,monthly,active,
SUB0050,CUST0050,Basic,2025-04-09,2025-11-09,19.99,monthly,cancelled,2025-11-09
SUB0051,CUST0051,Basic,2025-01-13,,19.99,monthly,active,
SUB0052,CUST0052,Basic,2025-05-19,,19.99,monthly,active,
